match_id,Team1,Team2,match_date,Season_Year,Venue_Name,City_Name,Country_Name,Toss_Winner,match_winner,Toss_Name,Win_Type,Outcome_Type,ManOfMach,Win_Margin,Country_id
501212,Pune Warriors,Kochi Tuskers Kerala,4/13/2011,2011,Dr DY Patil Sports Academy,Mumbai,India,Kochi Tuskers Kerala,Pune Warriors,bat,wickets,Result,MD Mishra,4,1
501213,Deccan Chargers,Royal Challengers Bangalore,4/14/2011,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Royal Challengers Bangalore,Deccan Chargers,field,runs,Result,DW Steyn,33,1
501214,Rajasthan Royals,Kolkata Knight Riders,4/15/2011,2011,Sawai Mansingh Stadium,Jaipur,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,G Gambhir,9,1
501215,Mumbai Indians,Kochi Tuskers Kerala,4/15/2011,2011,Wankhede Stadium,Mumbai,India,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,wickets,Result,BB McCullum,8,1
501216,Chennai Super Kings,Royal Challengers Bangalore,4/16/2011,2011,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,MEK Hussey,21,1
501217,Deccan Chargers,Kings XI Punjab,4/16/2011,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,PC Valthaty,8,1
501218,Pune Warriors,Delhi Daredevils,4/17/2011,2011,Dr DY Patil Sports Academy,Mumbai,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,Yuvraj Singh,3,1
501219,Kolkata Knight Riders,Rajasthan Royals,4/17/2011,2011,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,L Balaji,8,1
501220,Kochi Tuskers Kerala,Chennai Super Kings,4/18/2011,2011,Nehru Stadium,Kochi,India,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,wickets,Result,BB McCullum,7,1
501221,Delhi Daredevils,Deccan Chargers,4/19/2011,2011,Feroz Shah Kotla,Delhi,India,Deccan Chargers,Deccan Chargers,bat,runs,Result,S Sohal,16,1
501223,Mumbai Indians,Pune Warriors,4/20/2011,2011,Wankhede Stadium,Mumbai,India,Pune Warriors,Mumbai Indians,bat,wickets,Result,MM Patel,7,1
501224,Kolkata Knight Riders,Kochi Tuskers Kerala,4/20/2011,2011,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kochi Tuskers Kerala,field,runs,Result,DPMD Jayawardene,6,1
501225,Kings XI Punjab,Rajasthan Royals,4/21/2011,2011,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Rajasthan Royals,Kings XI Punjab,field,runs,Result,SE Marsh,48,1
501226,Mumbai Indians,Chennai Super Kings,4/22/2011,2011,Wankhede Stadium,Mumbai,India,Chennai Super Kings,Mumbai Indians,field,runs,Result,Harbhajan Singh,8,1
501227,Kolkata Knight Riders,Royal Challengers Bangalore,4/22/2011,2011,Eden Gardens,Kolkata,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,CH Gayle,9,1
501228,Delhi Daredevils,Kings XI Punjab,4/23/2011,2011,Feroz Shah Kotla,Delhi,India,Kings XI Punjab,Delhi Daredevils,field,runs,Result,DA Warner,29,1
501229,Deccan Chargers,Mumbai Indians,4/24/2011,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Deccan Chargers,Mumbai Indians,field,runs,Result,SL Malinga,37,1
501230,Rajasthan Royals,Kochi Tuskers Kerala,4/24/2011,2011,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,SK Warne,8,1
501231,Chennai Super Kings,Pune Warriors,4/25/2011,2011,"MA Chidambaram Stadium, Chepauk",Chennai,India,Pune Warriors,Chennai Super Kings,field,runs,Result,MEK Hussey,25,1
501232,Delhi Daredevils,Royal Challengers Bangalore,4/26/2011,2011,Feroz Shah Kotla,Delhi,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,V Kohli,3,1
501233,Pune Warriors,Chennai Super Kings,4/27/2011,2011,Dr DY Patil Sports Academy,Mumbai,India,Pune Warriors,Chennai Super Kings,bat,wickets,Result,DE Bollinger,8,1
501234,Kochi Tuskers Kerala,Deccan Chargers,4/27/2011,2011,Nehru Stadium,Kochi,India,Kochi Tuskers Kerala,Deccan Chargers,field,runs,Result,I Sharma,55,1
501235,Delhi Daredevils,Kolkata Knight Riders,4/28/2011,2011,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Kolkata Knight Riders,field,runs,Result,MK Tiwary,17,1
